date,origin,dest,pct_leavers,netflow,origin_lat,origin_lon,dest_lat,dest_lon,origin_city,dest_city
2017/1/1,"Boston, MA","Washington, DC",7.10%,-677,42.3188,-71.0852,38.9047,-77.0163,Boston,Washington
2017/1/1,"Boston, MA","Los Angeles, CA",6.60%,-677,42.3188,-71.0852,34.1141,-118.4068,Boston,Los Angeles
2017/1/1,"Boston, MA","San Jose, CA",6.00%,-677,42.3188,-71.0852,37.3012,-121.848,Boston,San Jose
2017/1/1,"Boston, MA","Seattle, WA",4.60%,-677,42.3188,-71.0852,47.6211,-122.3244,Boston,Seattle
2017/1/1,"Boston, MA","Chicago, IL",4.40%,-677,42.3188,-71.0852,41.8375,-87.6866,Boston,Chicago
2017/1/1,"Boston, MA","New York, NY",4.10%,-677,42.3188,-71.0852,40.6943,-73.9249,Boston,New York
2017/1/1,"Boston, MA","Cape Coral, FL",3.10%,-677,42.3188,-71.0852,26.6443,-81.9957,Boston,Cape Coral
2017/1/1,"Boston, MA","Philadelphia, PA",3.10%,-677,42.3188,-71.0852,40.0077,-75.1339,Boston,Philadelphia
2017/1/1,"Cape Coral, FL","North Port, FL",14.70%,528,26.6443,-81.9957,27.0576,-82.1977,Cape Coral,North Port
2017/1/1,"Cape Coral, FL","Chicago, IL",12.80%,528,26.6443,-81.9957,41.8375,-87.6866,Cape Coral,Chicago
2017/1/1,"Cape Coral, FL","Miami, FL",7.70%,528,26.6443,-81.9957,25.784,-80.2101,Cape Coral,Miami
2017/1/1,"Cape Coral, FL","Los Angeles, CA",6.40%,528,26.6443,-81.9957,34.1141,-118.4068,Cape Coral,Los Angeles
2017/1/1,"Cape Coral, FL","Boston, MA",5.80%,528,26.6443,-81.9957,42.3188,-71.0852,Cape Coral,Boston
2017/1/1,"Cape Coral, FL","Washington, DC",5.40%,528,26.6443,-81.9957,38.9047,-77.0163,Cape Coral,Washington
2017/1/1,"Cape Coral, FL","Tampa, FL",4.50%,528,26.6443,-81.9957,27.9945,-82.4447,Cape Coral,Tampa
2017/1/1,"Cape Coral, FL","New York, NY",3.20%,528,26.6443,-81.9957,40.6943,-73.9249,Cape Coral,New York
2017/1/1,"Charleston, SC","Seattle, WA",7.70%,176,32.8168,-79.9687,47.6211,-122.3244,Charleston,Seattle
2017/1/1,"Charleston, SC","Washington, DC",7.20%,176,32.8168,-79.9687,38.9047,-77.0163,Charleston,Washington
2017/1/1,"Charleston, SC","Los Angeles, CA",5.70%,176,32.8168,-79.9687,34.1141,-118.4068,Charleston,Los Angeles
2017/1/1,"Charlotte, NC","Raleigh, NC",19.30%,316,35.2083,-80.8303,35.8324,-78.6429,Charlotte,Raleigh
2017/1/1,"Charlotte, NC","Washington, DC",9.60%,316,35.2083,-80.8303,38.9047,-77.0163,Charlotte,Washington
2017/1/1,"Charlotte, NC","Greensboro, NC",8.00%,316,35.2083,-80.8303,36.0956,-79.8271,Charlotte,Greensboro
2017/1/1,"Charlotte, NC","Charleston, SC",5.20%,316,35.2083,-80.8303,32.8168,-79.9687,Charlotte,Charleston
2017/1/1,"Charlotte, NC","Atlanta, GA",5.10%,316,35.2083,-80.8303,33.7628,-84.422,Charlotte,Atlanta
2017/1/1,"Charlotte, NC","Greenville, SC",3.80%,316,35.2083,-80.8303,34.8354,-82.3646,Charlotte,Greenville
2017/1/1,"Charlotte, NC","Los Angeles, CA",3.60%,316,35.2083,-80.8303,34.1141,-118.4068,Charlotte,Los Angeles
2017/1/1,"Charlotte, NC","Chicago, IL",3.30%,316,35.2083,-80.8303,41.8375,-87.6866,Charlotte,Chicago
2017/1/1,"Charlotte, NC","Miami, FL",2.70%,316,35.2083,-80.8303,25.784,-80.2101,Charlotte,Miami
2017/1/1,"Charlotte, NC","Seattle, WA",2.20%,316,35.2083,-80.8303,47.6211,-122.3244,Charlotte,Seattle
2017/1/1,"Chicago, IL","Los Angeles, CA",7.40%,-2617,41.8375,-87.6866,34.1141,-118.4068,Chicago,Los Angeles
2017/1/1,"Chicago, IL","Phoenix, AZ",6.80%,-2617,41.8375,-87.6866,33.5722,-112.0892,Chicago,Phoenix
2017/1/1,"Chicago, IL","Denver, CO",4.20%,-2617,41.8375,-87.6866,39.762,-104.8758,Chicago,Denver
2017/1/1,"Chicago, IL","Miami, FL",3.90%,-2617,41.8375,-87.6866,25.784,-80.2101,Chicago,Miami
2017/1/1,"Chicago, IL","Milwaukee, WI",3.90%,-2617,41.8375,-87.6866,43.0642,-87.9675,Chicago,Milwaukee
2017/1/1,"Chicago, IL","Dallas, TX",3.80%,-2617,41.8375,-87.6866,32.7935,-96.7667,Chicago,Dallas
2017/1/1,"Chicago, IL","Seattle, WA",3.40%,-2617,41.8375,-87.6866,47.6211,-122.3244,Chicago,Seattle
2017/1/1,"Chicago, IL","San Jose, CA",3.40%,-2617,41.8375,-87.6866,37.3012,-121.848,Chicago,San Jose
2017/1/1,"Chicago, IL","Atlanta, GA",3.40%,-2617,41.8375,-87.6866,33.7628,-84.422,Chicago,Atlanta
2017/1/1,"Chicago, IL","Indianapolis, IN",2.90%,-2617,41.8375,-87.6866,39.7771,-86.1458,Chicago,Indianapolis
2017/1/1,"Dallas, TX","Los Angeles, CA",11.30%,2071,32.7935,-96.7667,34.1141,-118.4068,Dallas,Los Angeles
2017/1/1,"Dallas, TX","Austin, TX",8.30%,2071,32.7935,-96.7667,30.3005,-97.7522,Dallas,Austin
2017/1/1,"Dallas, TX","Seattle, WA",6.40%,2071,32.7935,-96.7667,47.6211,-122.3244,Dallas,Seattle
2017/1/1,"Dallas, TX","Houston, TX",6.20%,2071,32.7935,-96.7667,29.786,-95.3885,Dallas,Houston
2017/1/1,"Dallas, TX","Denver, CO",5.10%,2071,32.7935,-96.7667,39.762,-104.8758,Dallas,Denver
2017/1/1,"Dallas, TX","Chicago, IL",5.10%,2071,32.7935,-96.7667,41.8375,-87.6866,Dallas,Chicago
2017/1/1,"Dallas, TX","Washington, DC",4.90%,2071,32.7935,-96.7667,38.9047,-77.0163,Dallas,Washington
2017/1/1,"Dallas, TX","San Jose, CA",4.50%,2071,32.7935,-96.7667,37.3012,-121.848,Dallas,San Jose
2017/1/1,"Dallas, TX","Phoenix, AZ",3.40%,2071,32.7935,-96.7667,33.5722,-112.0892,Dallas,Phoenix
2017/1/1,"Dallas, TX","Atlanta, GA",2.80%,2071,32.7935,-96.7667,33.7628,-84.422,Dallas,Atlanta
2017/1/1,"Denver, CO","Fort Collins, CO",11.30%,424,39.762,-104.8758,40.5477,-105.0656,Denver,Fort Collins
2017/1/1,"Denver, CO","Colorado Springs, CO",10.40%,424,39.762,-104.8758,38.8674,-104.7605,Denver,Colorado Springs
2017/1/1,"Denver, CO","Phoenix, AZ",6.30%,424,39.762,-104.8758,33.5722,-112.0892,Denver,Phoenix
2017/1/1,"Denver, CO","Los Angeles, CA",6.10%,424,39.762,-104.8758,34.1141,-118.4068,Denver,Los Angeles
2017/1/1,"Denver, CO","Seattle, WA",4.80%,424,39.762,-104.8758,47.6211,-122.3244,Denver,Seattle
2017/1/1,"Denver, CO","Chicago, IL",3.80%,424,39.762,-104.8758,41.8375,-87.6866,Denver,Chicago
2017/1/1,"Denver, CO","San Jose, CA",3.40%,424,39.762,-104.8758,37.3012,-121.848,Denver,San Jose
2017/1/1,"Denver, CO","Washington, DC",3.00%,424,39.762,-104.8758,38.9047,-77.0163,Denver,Washington
2017/1/1,"Denver, CO","San Diego, CA",2.80%,424,39.762,-104.8758,32.8313,-117.1222,Denver,San Diego
2017/1/1,"Denver, CO","Dallas, TX",2.80%,424,39.762,-104.8758,32.7935,-96.7667,Denver,Dallas
2017/1/1,"Detroit, MI","Chicago, IL",18.30%,75,42.3834,-83.1024,41.8375,-87.6866,Detroit,Chicago
2017/1/1,"Detroit, MI","Los Angeles, CA",8.20%,75,42.3834,-83.1024,34.1141,-118.4068,Detroit,Los Angeles
2017/1/1,"Detroit, MI","Seattle, WA",6.90%,75,42.3834,-83.1024,47.6211,-122.3244,Detroit,Seattle
2017/1/1,"Detroit, MI","Grand Rapids, MI",6.70%,75,42.3834,-83.1024,42.9619,-85.6562,Detroit,Grand Rapids
2017/1/1,"Detroit, MI","Washington, DC",4.90%,75,42.3834,-83.1024,38.9047,-77.0163,Detroit,Washington
2017/1/1,"Detroit, MI","Phoenix, AZ",3.60%,75,42.3834,-83.1024,33.5722,-112.0892,Detroit,Phoenix
2017/1/1,"Detroit, MI","San Jose, CA",3.10%,75,42.3834,-83.1024,37.3012,-121.848,Detroit,San Jose
2017/1/1,"Detroit, MI","San Diego, CA",3.00%,75,42.3834,-83.1024,32.8313,-117.1222,Detroit,San Diego
2017/1/1,"Detroit, MI","Miami, FL",2.70%,75,42.3834,-83.1024,25.784,-80.2101,Detroit,Miami
2017/1/1,"Detroit, MI","Atlanta, GA",2.40%,75,42.3834,-83.1024,33.7628,-84.422,Detroit,Atlanta
2017/1/1,"Fresno, CA","Los Angeles, CA",21.40%,323,36.783,-119.7939,34.1141,-118.4068,Fresno,Los Angeles
2017/1/1,"Fresno, CA","San Jose, CA",14.90%,323,36.783,-119.7939,37.3012,-121.848,Fresno,San Jose
2017/1/1,"Fresno, CA","Sacramento, CA",9.80%,323,36.783,-119.7939,38.5677,-121.4685,Fresno,Sacramento
2017/1/1,"Fresno, CA","Seattle, WA",7.00%,323,36.783,-119.7939,47.6211,-122.3244,Fresno,Seattle
