date,city,state,netflow,lat,lon
2017/7/1,Salinas,CA,509,36.6883,-121.6317
2017/7/1,North Port,FL,468,27.0576,-82.1977
2017/7/1,Bakersfield,CA,356,35.3529,-119.0359
2017/7/1,Urban Honolulu,HI,354,21.3294,-157.846
2017/7/1,Minneapolis,MN,349,44.9635,-93.2678
2017/7/1,Orlando,FL,345,28.4773,-81.337
2017/7/1,Albuquerque,NM,303,35.1054,-106.6465
2017/7/1,Fresno,CA,297,36.783,-119.7939
2017/7/1,Virginia Beach,VA,287,36.7335,-76.0435
2017/7/1,Charleston,SC,230,32.8168,-79.9687
2017/7/1,Seattle,WA,214,47.6211,-122.3244
2017/7/1,Indianapolis,IN,204,39.7771,-86.1458
2017/7/1,Albany,NY,54,42.6664,-73.7987
2017/7/1,Knoxville,TN,14,35.9692,-83.9496
2017/7/1,Milwaukee,WI,-152,43.0642,-87.9675
2017/7/1,Denver,CO,-163,39.762,-104.8758
2017/7/1,Detroit,MI,-322,42.3834,-83.1024
2017/7/1,Houston,TX,-328,29.786,-95.3885
2017/7/1,Chicago,IL,-2125,41.8375,-87.6866
2017/7/1,Washington,DC,-5677,38.9047,-77.0163
2017/7/1,Los Angeles,CA,-15889,34.1141,-118.4068
2017/7/1,New York,NY,-16647,40.6943,-73.9249
2017/7/1,San Jose,CA,-16952,37.3012,-121.848
2017/10/1,Sacramento,CA,4586,38.5677,-121.4685
2017/10/1,San Diego,CA,3776,32.8313,-117.1222
2017/10/1,Las Vegas,NV,3583,36.2333,-115.2654
2017/10/1,Phoenix,AZ,3549,33.5722,-112.0892
2017/10/1,Atlanta,GA,3097,33.7628,-84.422
2017/10/1,Dallas,TX,2074,32.7935,-96.7667
2017/10/1,Boston,MA,1811,42.3188,-71.0852
2017/10/1,Portland,OR,1700,45.5371,-122.65
2017/10/1,Austin,TX,1609,30.3005,-97.7522
2017/10/1,Nashville,TN,1587,36.1715,-86.7842
2017/10/1,Philadelphia,PA,1452,40.0077,-75.1339
2017/10/1,Tampa,FL,1354,27.9945,-82.4447
2017/10/1,Raleigh,NC,1343,35.8324,-78.6429
2017/10/1,Charlotte,NC,1167,35.2083,-80.8303
2017/10/1,Miami,FL,1105,25.784,-80.2101
2017/10/1,San Antonio,TX,863,29.4632,-98.5238
2017/10/1,North Port,FL,636,27.0576,-82.1977
2017/10/1,Salt Lake City,UT,627,40.7776,-111.9311
2017/10/1,Cape Coral,FL,610,26.6443,-81.9957
2017/10/1,San Luis Obispo,CA,512,35.2669,-120.669
2017/10/1,Bellingham,WA,463,48.7548,-122.469
2017/10/1,Jacksonville,FL,460,30.3322,-81.6749
2017/10/1,Minneapolis,MN,421,44.9635,-93.2678
2017/10/1,Albuquerque,NM,404,35.1054,-106.6465
2017/10/1,Bakersfield,CA,391,35.3529,-119.0359
2017/10/1,Salinas,CA,329,36.6883,-121.6317
2017/10/1,Fresno,CA,294,36.783,-119.7939
2017/10/1,Urban Honolulu,HI,281,21.3294,-157.846
2017/10/1,Charleston,SC,241,32.8168,-79.9687
2017/10/1,Virginia Beach,VA,238,36.7335,-76.0435
2017/10/1,Orlando,FL,233,28.4773,-81.337
2017/10/1,Indianapolis,IN,189,39.7771,-86.1458
2017/10/1,Albany,NY,71,42.6664,-73.7987
2017/10/1,Knoxville,TN,38,35.9692,-83.9496
2017/10/1,Denver,CO,20,39.762,-104.8758
2017/10/1,Seattle,WA,-146,47.6211,-122.3244
2017/10/1,Detroit,MI,-222,42.3834,-83.1024
2017/10/1,Milwaukee,WI,-247,43.0642,-87.9675
2017/10/1,Houston,TX,-376,29.786,-95.3885
2017/10/1,Chicago,IL,-1786,41.8375,-87.6866
2017/10/1,Washington,DC,-4443,38.9047,-77.0163
2017/10/1,Los Angeles,CA,-14240,34.1141,-118.4068
2017/10/1,New York,NY,-15474,40.6943,-73.9249
2017/10/1,San Jose,CA,-17168,37.3012,-121.848
2018/1/1,Phoenix,AZ,4117,33.5722,-112.0892
2018/1/1,Sacramento,CA,3169,38.5677,-121.4685
2018/1/1,Las Vegas,NV,2925,36.2333,-115.2654
2018/1/1,Atlanta,GA,2713,33.7628,-84.422
2018/1/1,Miami,FL,2295,25.784,-80.2101
2018/1/1,Austin,TX,1807,30.3005,-97.7522
2018/1/1,Dallas,TX,1556,32.7935,-96.7667
2018/1/1,Portland,OR,1511,45.5371,-122.65
2018/1/1,Tampa,FL,1187,27.9945,-82.4447
2018/1/1,San Diego,CA,1159,32.8313,-117.1222
2018/1/1,Charlotte,NC,1033,35.2083,-80.8303
2018/1/1,Raleigh,NC,1023,35.8324,-78.6429
2018/1/1,Nashville,TN,844,36.1715,-86.7842
2018/1/1,Philadelphia,PA,793,40.0077,-75.1339
2018/1/1,San Antonio,TX,735,29.4632,-98.5238
2018/1/1,North Port,FL,584,27.0576,-82.1977
2018/1/1,Cape Coral,FL,527,26.6443,-81.9957
2018/1/1,San Luis Obispo,CA,468,35.2669,-120.669
2018/1/1,Salt Lake City,UT,413,40.7776,-111.9311
2018/1/1,Jacksonville,FL,368,30.3322,-81.6749
2018/1/1,Salinas,CA,349,36.6883,-121.6317
2018/1/1,Urban Honolulu,HI,326,21.3294,-157.846
2018/1/1,Bakersfield,CA,293,35.3529,-119.0359
2018/1/1,Bellingham,WA,287,48.7548,-122.469
2018/1/1,Albuquerque,NM,283,35.1054,-106.6465
2018/1/1,Fresno,CA,229,36.783,-119.7939
2018/1/1,Minneapolis,MN,210,44.9635,-93.2678
2018/1/1,Virginia Beach,VA,205,36.7335,-76.0435
2018/1/1,Charleston,SC,200,32.8168,-79.9687
2018/1/1,Orlando,FL,188,28.4773,-81.337
2018/1/1,Indianapolis,IN,117,39.7771,-86.1458
2018/1/1,Milwaukee,WI,37,43.0642,-87.9675
2018/1/1,Albany,NY,10,42.6664,-73.7987
2018/1/1,Knoxville,TN,-30,35.9692,-83.9496
2018/1/1,Boston,MA,-63,42.3188,-71.0852
2018/1/1,Detroit,MI,-131,42.3834,-83.1024
2018/1/1,Houston,TX,-297,29.786,-95.3885
2018/1/1,Denver,CO,-309,39.762,-104.8758
2018/1/1,Chicago,IL,-2023,41.8375,-87.6866
2018/1/1,Seattle,WA,-2270,47.6211,-122.3244
2018/1/1,Washington,DC,-4209,38.9047,-77.0163
2018/1/1,Los Angeles,CA,-7189,34.1141,-118.4068
2018/1/1,New York,NY,-11707,40.6943,-73.9249
2018/1/1,San Jose,CA,-15137,37.3012,-121.848
2018/4/1,Phoenix,AZ,6349,33.5722,-112.0892
2018/4/1,Sacramento,CA,6208,38.5677,-121.4685
2018/4/1,Atlanta,GA,5112,33.7628,-84.422
2018/4/1,Las Vegas,NV,3786,36.2333,-115.2654
2018/4/1,Portland,OR,3614,45.5371,-122.65
2018/4/1,Austin,TX,3212,30.3005,-97.7522
2018/4/1,Dallas,TX,2979,32.7935,-96.7667
2018/4/1,Miami,FL,2575,25.784,-80.2101
2018/4/1,San Diego,CA,2537,32.8313,-117.1222
2018/4/1,Nashville,TN,2462,36.1715,-86.7842
2018/4/1,Tampa,FL,2436,27.9945,-82.4447
2018/4/1,Raleigh,NC,2092,35.8324,-78.6429
2018/4/1,Charlotte,NC,1908,35.2083,-80.8303
2018/4/1,Boston,MA,1862,42.3188,-71.0852
2018/4/1,San Antonio,TX,1483,29.4632,-98.5238
2018/4/1,Philadelphia,PA,1211,40.0077,-75.1339
2018/4/1,Cape Coral,FL,1039,26.6443,-81.9957
2018/4/1,North Port,FL,1024,27.0576,-82.1977
2018/4/1,Jacksonville,FL,892,30.3322,-81.6749
2018/4/1,Seattle,WA,853,47.6211,-122.3244
2018/4/1,San Luis Obispo,CA,749,35.2669,-120.669
2018/4/1,Salt Lake City,UT,666,40.7776,-111.9311
2018/4/1,Charleston,SC,570,32.8168,-79.9687
2018/4/1,Bellingham,WA,540,48.7548,-122.469
2018/4/1,Urban Honolulu,HI,532,21.3294,-157.846
2018/4/1,Fresno,CA,489,36.783,-119.7939
2018/4/1,Bakersfield,CA,469,35.3529,-119.0359
2018/4/1,Virginia Beach,VA,467,36.7335,-76.0435
2018/4/1,Albuquerque,NM,457,35.1054,-106.6465
2018/4/1,Orlando,FL,439,28.4773,-81.337
2018/4/1,Salinas,CA,391,36.6883,-121.6317
2018/4/1,Minneapolis,MN,259,44.9635,-93.2678
2018/4/1,Indianapolis,IN,167,39.7771,-86.1458
2018/4/1,Knoxville,TN,46,35.9692,-83.9496
2018/4/1,Albany,NY,34,42.6664,-73.7987
2018/4/1,Detroit,MI,-263,42.3834,-83.1024
2018/4/1,Houston,TX,-336,29.786,-95.3885
2018/4/1,Milwaukee,WI,-787,43.0642,-87.9675
2018/4/1,Denver,CO,-3007,39.762,-104.8758
2018/4/1,Chicago,IL,-3428,41.8375,-87.6866
2018/4/1,Washington,DC,-5900,38.9047,-77.0163
2018/4/1,Los Angeles,CA,-13370,34.1141,-118.4068
2018/4/1,New York,NY,-23559,40.6943,-73.9249
2018/4/1,San Jose,CA,-27849,37.3012,-121.848
2018/7/1,Sacramento,CA,7029,38.5677,-121.4685
2018/7/1,Atlanta,GA,5466,33.7628,-84.422
2018/7/1,Phoenix,AZ,5258,33.5722,-112.0892
2018/7/1,Portland,OR,3904,45.5371,-122.65
2018/7/1,San Diego,CA,3206,32.8313,-117.1222
2018/7/1,Miami,FL,3019,25.784,-80.2101
