date,origin,dest,pct_incomers,netflow,dest_lat,dest_lon,origin_lat,origin_lon,origin_city,dest_city
2017/1/1,"Philadelphia, PA","Boston, MA",2.30%,-677,42.3188,-71.0852,40.0077,-75.1339,Philadelphia,Boston
2017/1/1,"San Diego, CA","Boston, MA",2.20%,-677,42.3188,-71.0852,32.8313,-117.1222,San Diego,Boston
2017/1/1,"Denver, CO","Boston, MA",1.40%,-677,42.3188,-71.0852,39.762,-104.8758,Denver,Boston
2017/1/1,"Chicago, IL","Cape Coral, FL",21.20%,528,26.6443,-81.9957,41.8375,-87.6866,Chicago,Cape Coral
2017/1/1,"Boston, MA","Cape Coral, FL",10.20%,528,26.6443,-81.9957,42.3188,-71.0852,Boston,Cape Coral
2017/1/1,"Washington, DC","Cape Coral, FL",9.30%,528,26.6443,-81.9957,38.9047,-77.0163,Washington,Cape Coral
2017/1/1,"New York, NY","Cape Coral, FL",8.70%,528,26.6443,-81.9957,40.6943,-73.9249,New York,Cape Coral
2017/1/1,"Miami, FL","Cape Coral, FL",8.10%,528,26.6443,-81.9957,25.784,-80.2101,Miami,Cape Coral
2017/1/1,"Philadelphia, PA","Cape Coral, FL",3.50%,528,26.6443,-81.9957,40.0077,-75.1339,Philadelphia,Cape Coral
2017/1/1,"Denver, CO","Cape Coral, FL",2.90%,528,26.6443,-81.9957,39.762,-104.8758,Denver,Cape Coral
2017/1/1,"Los Angeles, CA","Cape Coral, FL",2.80%,528,26.6443,-81.9957,34.1141,-118.4068,Los Angeles,Cape Coral
2017/1/1,"San Jose, CA","Cape Coral, FL",2.20%,528,26.6443,-81.9957,37.3012,-121.848,San Jose,Cape Coral
2017/1/1,"Detroit, MI","Cape Coral, FL",2.10%,528,26.6443,-81.9957,42.3834,-83.1024,Detroit,Cape Coral
2017/1/1,"Washington, DC","Charleston, SC",21.20%,176,32.8168,-79.9687,38.9047,-77.0163,Washington,Charleston
2017/1/1,"Charlotte, NC","Charleston, SC",8.00%,176,32.8168,-79.9687,35.2083,-80.8303,Charlotte,Charleston
2017/1/1,"New York, NY","Charleston, SC",7.00%,176,32.8168,-79.9687,40.6943,-73.9249,New York,Charleston
2017/1/1,"Seattle, WA","Charleston, SC",6.20%,176,32.8168,-79.9687,47.6211,-122.3244,Seattle,Charleston
2017/1/1,"Chicago, IL","Charleston, SC",5.30%,176,32.8168,-79.9687,41.8375,-87.6866,Chicago,Charleston
2017/1/1,"Boston, MA","Charleston, SC",5.20%,176,32.8168,-79.9687,42.3188,-71.0852,Boston,Charleston
2017/1/1,"Los Angeles, CA","Charleston, SC",4.00%,176,32.8168,-79.9687,34.1141,-118.4068,Los Angeles,Charleston
2017/1/1,"San Jose, CA","Charleston, SC",3.40%,176,32.8168,-79.9687,37.3012,-121.848,San Jose,Charleston
2017/1/1,"Atlanta, GA","Charleston, SC",3.00%,176,32.8168,-79.9687,33.7628,-84.422,Atlanta,Charleston
2017/1/1,"San Diego, CA","Charleston, SC",2.30%,176,32.8168,-79.9687,32.8313,-117.1222,San Diego,Charleston
2017/1/1,"Washington, DC","Charlotte, NC",17.00%,316,35.2083,-80.8303,38.9047,-77.0163,Washington,Charlotte
2017/1/1,"New York, NY","Charlotte, NC",13.30%,316,35.2083,-80.8303,40.6943,-73.9249,New York,Charlotte
2017/1/1,"Los Angeles, CA","Charlotte, NC",6.80%,316,35.2083,-80.8303,34.1141,-118.4068,Los Angeles,Charlotte
2017/1/1,"Chicago, IL","Charlotte, NC",6.40%,316,35.2083,-80.8303,41.8375,-87.6866,Chicago,Charlotte
2017/1/1,"San Jose, CA","Charlotte, NC",4.70%,316,35.2083,-80.8303,37.3012,-121.848,San Jose,Charlotte
2017/1/1,"Raleigh, NC","Charlotte, NC",4.30%,316,35.2083,-80.8303,35.8324,-78.6429,Raleigh,Charlotte
2017/1/1,"Boston, MA","Charlotte, NC",3.90%,316,35.2083,-80.8303,42.3188,-71.0852,Boston,Charlotte
2017/1/1,"Greensboro, NC","Charlotte, NC",3.00%,316,35.2083,-80.8303,36.0956,-79.8271,Greensboro,Charlotte
2017/1/1,"Seattle, WA","Charlotte, NC",2.80%,316,35.2083,-80.8303,47.6211,-122.3244,Seattle,Charlotte
2017/1/1,"Miami, FL","Charlotte, NC",2.80%,316,35.2083,-80.8303,25.784,-80.2101,Miami,Charlotte
2017/1/1,"New York, NY","Chicago, IL",9.30%,-2617,41.8375,-87.6866,40.6943,-73.9249,New York,Chicago
2017/1/1,"Los Angeles, CA","Chicago, IL",7.30%,-2617,41.8375,-87.6866,34.1141,-118.4068,Los Angeles,Chicago
2017/1/1,"San Jose, CA","Chicago, IL",6.80%,-2617,41.8375,-87.6866,37.3012,-121.848,San Jose,Chicago
2017/1/1,"Washington, DC","Chicago, IL",4.70%,-2617,41.8375,-87.6866,38.9047,-77.0163,Washington,Chicago
2017/1/1,"Indianapolis, IN","Chicago, IL",4.20%,-2617,41.8375,-87.6866,39.7771,-86.1458,Indianapolis,Chicago
2017/1/1,"Milwaukee, WI","Chicago, IL",3.60%,-2617,41.8375,-87.6866,43.0642,-87.9675,Milwaukee,Chicago
2017/1/1,"Seattle, WA","Chicago, IL",2.90%,-2617,41.8375,-87.6866,47.6211,-122.3244,Seattle,Chicago
2017/1/1,"Detroit, MI","Chicago, IL",2.80%,-2617,41.8375,-87.6866,42.3834,-83.1024,Detroit,Chicago
2017/1/1,"Minneapolis, MN","Chicago, IL",2.60%,-2617,41.8375,-87.6866,44.9635,-93.2678,Minneapolis,Chicago
2017/1/1,"Boston, MA","Chicago, IL",2.50%,-2617,41.8375,-87.6866,42.3188,-71.0852,Boston,Chicago
2017/1/1,"Los Angeles, CA","Dallas, TX",17.70%,2071,32.7935,-96.7667,34.1141,-118.4068,Los Angeles,Dallas
2017/1/1,"Houston, TX","Dallas, TX",9.80%,2071,32.7935,-96.7667,29.786,-95.3885,Houston,Dallas
2017/1/1,"San Jose, CA","Dallas, TX",9.50%,2071,32.7935,-96.7667,37.3012,-121.848,San Jose,Dallas
2017/1/1,"Chicago, IL","Dallas, TX",7.70%,2071,32.7935,-96.7667,41.8375,-87.6866,Chicago,Dallas
2017/1/1,"Washington, DC","Dallas, TX",5.50%,2071,32.7935,-96.7667,38.9047,-77.0163,Washington,Dallas
2017/1/1,"Seattle, WA","Dallas, TX",5.20%,2071,32.7935,-96.7667,47.6211,-122.3244,Seattle,Dallas
2017/1/1,"New York, NY","Dallas, TX",4.30%,2071,32.7935,-96.7667,40.6943,-73.9249,New York,Dallas
2017/1/1,"Austin, TX","Dallas, TX",4.30%,2071,32.7935,-96.7667,30.3005,-97.7522,Austin,Dallas
2017/1/1,"San Diego, CA","Dallas, TX",2.90%,2071,32.7935,-96.7667,32.8313,-117.1222,San Diego,Dallas
2017/1/1,"Denver, CO","Dallas, TX",2.00%,2071,32.7935,-96.7667,39.762,-104.8758,Denver,Dallas
2017/1/1,"San Jose, CA","Denver, CO",13.00%,424,39.762,-104.8758,37.3012,-121.848,San Jose,Denver
2017/1/1,"Los Angeles, CA","Denver, CO",10.30%,424,39.762,-104.8758,34.1141,-118.4068,Los Angeles,Denver
2017/1/1,"Chicago, IL","Denver, CO",9.60%,424,39.762,-104.8758,41.8375,-87.6866,Chicago,Denver
2017/1/1,"Washington, DC","Denver, CO",7.60%,424,39.762,-104.8758,38.9047,-77.0163,Washington,Denver
2017/1/1,"Fort Collins, CO","Denver, CO",6.50%,424,39.762,-104.8758,40.5477,-105.0656,Fort Collins,Denver
2017/1/1,"Seattle, WA","Denver, CO",4.40%,424,39.762,-104.8758,47.6211,-122.3244,Seattle,Denver
2017/1/1,"Houston, TX","Denver, CO",4.10%,424,39.762,-104.8758,29.786,-95.3885,Houston,Denver
2017/1/1,"New York, NY","Denver, CO",3.60%,424,39.762,-104.8758,40.6943,-73.9249,New York,Denver
2017/1/1,"Colorado Springs, CO","Denver, CO",3.60%,424,39.762,-104.8758,38.8674,-104.7605,Colorado Springs,Denver
2017/1/1,"San Diego, CA","Denver, CO",3.30%,424,39.762,-104.8758,32.8313,-117.1222,San Diego,Denver
2017/1/1,"Chicago, IL","Detroit, MI",17.50%,75,42.3834,-83.1024,41.8375,-87.6866,Chicago,Detroit
2017/1/1,"Los Angeles, CA","Detroit, MI",10.00%,75,42.3834,-83.1024,34.1141,-118.4068,Los Angeles,Detroit
2017/1/1,"San Jose, CA","Detroit, MI",9.70%,75,42.3834,-83.1024,37.3012,-121.848,San Jose,Detroit
2017/1/1,"Washington, DC","Detroit, MI",8.30%,75,42.3834,-83.1024,38.9047,-77.0163,Washington,Detroit
2017/1/1,"Seattle, WA","Detroit, MI",6.10%,75,42.3834,-83.1024,47.6211,-122.3244,Seattle,Detroit
2017/1/1,"Grand Rapids, MI","Detroit, MI",5.20%,75,42.3834,-83.1024,42.9619,-85.6562,Grand Rapids,Detroit
2017/1/1,"New York, NY","Detroit, MI",4.50%,75,42.3834,-83.1024,40.6943,-73.9249,New York,Detroit
2017/1/1,"Boston, MA","Detroit, MI",3.70%,75,42.3834,-83.1024,42.3188,-71.0852,Boston,Detroit
2017/1/1,"San Diego, CA","Detroit, MI",3.50%,75,42.3834,-83.1024,32.8313,-117.1222,San Diego,Detroit
2017/1/1,"Portland, OR","Detroit, MI",2.20%,75,42.3834,-83.1024,45.5371,-122.65,Portland,Detroit
2017/1/1,"San Jose, CA","Fresno, CA",52.60%,323,36.783,-119.7939,37.3012,-121.848,San Jose,Fresno
2017/1/1,"Los Angeles, CA","Fresno, CA",19.60%,323,36.783,-119.7939,34.1141,-118.4068,Los Angeles,Fresno
2017/1/1,"Modesto, CA","Fresno, CA",4.80%,323,36.783,-119.7939,37.6375,-121.0028,Modesto,Fresno
2017/1/1,"San Diego, CA","Fresno, CA",4.00%,323,36.783,-119.7939,32.8313,-117.1222,San Diego,Fresno
2017/1/1,"Sacramento, CA","Fresno, CA",3.00%,323,36.783,-119.7939,38.5677,-121.4685,Sacramento,Fresno
2017/1/1,"Seattle, WA","Fresno, CA",1.90%,323,36.783,-119.7939,47.6211,-122.3244,Seattle,Fresno
2017/1/1,"Washington, DC","Fresno, CA",1.50%,323,36.783,-119.7939,38.9047,-77.0163,Washington,Fresno
2017/1/1,"Los Angeles, CA","Houston, TX",13.30%,-816,29.786,-95.3885,34.1141,-118.4068,Los Angeles,Houston
2017/1/1,"San Jose, CA","Houston, TX",9.50%,-816,29.786,-95.3885,37.3012,-121.848,San Jose,Houston
2017/1/1,"Chicago, IL","Houston, TX",8.60%,-816,29.786,-95.3885,41.8375,-87.6866,Chicago,Houston
2017/1/1,"Washington, DC","Houston, TX",7.40%,-816,29.786,-95.3885,38.9047,-77.0163,Washington,Houston
2017/1/1,"Austin, TX","Houston, TX",6.40%,-816,29.786,-95.3885,30.3005,-97.7522,Austin,Houston
2017/1/1,"Seattle, WA","Houston, TX",5.60%,-816,29.786,-95.3885,47.6211,-122.3244,Seattle,Houston
2017/1/1,"Dallas, TX","Houston, TX",5.30%,-816,29.786,-95.3885,32.7935,-96.7667,Dallas,Houston
2017/1/1,"New York, NY","Houston, TX",4.80%,-816,29.786,-95.3885,40.6943,-73.9249,New York,Houston
2017/1/1,"San Diego, CA","Houston, TX",3.40%,-816,29.786,-95.3885,32.8313,-117.1222,San Diego,Houston
2017/1/1,"Denver, CO","Houston, TX",3.30%,-816,29.786,-95.3885,39.762,-104.8758,Denver,Houston
2017/1/1,"Chicago, IL","Indianapolis, IN",34.20%,-46,39.7771,-86.1458,41.8375,-87.6866,Chicago,Indianapolis
2017/1/1,"Los Angeles, CA","Indianapolis, IN",7.30%,-46,39.7771,-86.1458,34.1141,-118.4068,Los Angeles,Indianapolis
2017/1/1,"San Jose, CA","Indianapolis, IN",6.40%,-46,39.7771,-86.1458,37.3012,-121.848,San Jose,Indianapolis
2017/1/1,"Washington, DC","Indianapolis, IN",4.60%,-46,39.7771,-86.1458,38.9047,-77.0163,Washington,Indianapolis
2017/1/1,"Seattle, WA","Indianapolis, IN",4.50%,-46,39.7771,-86.1458,47.6211,-122.3244,Seattle,Indianapolis
2017/1/1,"Denver, CO","Indianapolis, IN",3.40%,-46,39.7771,-86.1458,39.762,-104.8758,Denver,Indianapolis
2017/1/1,"San Diego, CA","Indianapolis, IN",3.40%,-46,39.7771,-86.1458,32.8313,-117.1222,San Diego,Indianapolis
2017/1/1,"New York, NY","Indianapolis, IN",2.50%,-46,39.7771,-86.1458,40.6943,-73.9249,New York,Indianapolis
2017/1/1,"Boston, MA","Indianapolis, IN",2.10%,-46,39.7771,-86.1458,42.3188,-71.0852,Boston,Indianapolis
2017/1/1,"Portland, OR","Indianapolis, IN",1.40%,-46,39.7771,-86.1458,45.5371,-122.65,Portland,Indianapolis
2017/1/1,"Washington, DC","Jacksonville, FL",13.40%,379,30.3322,-81.6749,38.9047,-77.0163,Washington,Jacksonville
2017/1/1,"Miami, FL","Jacksonville, FL",11.10%,379,30.3322,-81.6749,25.784,-80.2101,Miami,Jacksonville
2017/1/1,"Orlando, FL","Jacksonville, FL",7.50%,379,30.3322,-81.6749,28.4773,-81.337,Orlando,Jacksonville
2017/1/1,"New York, NY","Jacksonville, FL",6.90%,379,30.3322,-81.6749,40.6943,-73.9249,New York,Jacksonville
2017/1/1,"Tampa, FL","Jacksonville, FL",6.50%,379,30.3322,-81.6749,27.9945,-82.4447,Tampa,Jacksonville
2017/1/1,"Seattle, WA","Jacksonville, FL",4.80%,379,30.3322,-81.6749,47.6211,-122.3244,Seattle,Jacksonville
2017/1/1,"Los Angeles, CA","Jacksonville, FL",4.70%,379,30.3322,-81.6749,34.1141,-118.4068,Los Angeles,Jacksonville
2017/1/1,"Chicago, IL","Jacksonville, FL",4.40%,379,30.3322,-81.6749,41.8375,-87.6866,Chicago,Jacksonville
2017/1/1,"San Diego, CA","Jacksonville, FL",3.80%,379,30.3322,-81.6749,32.8313,-117.1222,San Diego,Jacksonville
2017/1/1,"San Jose, CA","Jacksonville, FL",3.40%,379,30.3322,-81.6749,37.3012,-121.848,San Jose,Jacksonville
2017/1/1,"Chicago, IL","Knoxville, TN",13.10%,-50,35.9692,-83.9496,41.8375,-87.6866,Chicago,Knoxville
2017/1/1,"Washington, DC","Knoxville, TN",9.10%,-50,35.9692,-83.9496,38.9047,-77.0163,Washington,Knoxville
2017/1/1,"Los Angeles, CA","Knoxville, TN",8.80%,-50,35.9692,-83.9496,34.1141,-118.4068,Los Angeles,Knoxville
2017/1/1,"Nashville, TN","Knoxville, TN",7.20%,-50,35.9692,-83.9496,36.1715,-86.7842,Nashville,Knoxville
2017/1/1,"New York, NY","Knoxville, TN",4.70%,-50,35.9692,-83.9496,40.6943,-73.9249,New York,Knoxville
2017/1/1,"Seattle, WA","Knoxville, TN",4.40%,-50,35.9692,-83.9496,47.6211,-122.3244,Seattle,Knoxville
2017/1/1,"San Diego, CA","Knoxville, TN",4.40%,-50,35.9692,-83.9496,32.8313,-117.1222,San Diego,Knoxville
2017/1/1,"Miami, FL","Knoxville, TN",3.10%,-50,35.9692,-83.9496,25.784,-80.2101,Miami,Knoxville
2017/1/1,"Atlanta, GA","Knoxville, TN",3.10%,-50,35.9692,-83.9496,33.7628,-84.422,Atlanta,Knoxville
2017/1/1,"Los Angeles, CA","Las Vegas, NV",44.20%,2476,36.2333,-115.2654,34.1141,-118.4068,Los Angeles,Las Vegas
2017/1/1,"San Jose, CA","Las Vegas, NV",11.00%,2476,36.2333,-115.2654,37.3012,-121.848,San Jose,Las Vegas
2017/1/1,"Seattle, WA","Las Vegas, NV",5.50%,2476,36.2333,-115.2654,47.6211,-122.3244,Seattle,Las Vegas
2017/1/1,"San Diego, CA","Las Vegas, NV",5.30%,2476,36.2333,-115.2654,32.8313,-117.1222,San Diego,Las Vegas
2017/1/1,"Chicago, IL","Las Vegas, NV",4.00%,2476,36.2333,-115.2654,41.8375,-87.6866,Chicago,Las Vegas
2017/1/1,"New York, NY","Las Vegas, NV",2.60%,2476,36.2333,-115.2654,40.6943,-73.9249,New York,Las Vegas
2017/1/1,"Washington, DC","Las Vegas, NV",2.50%,2476,36.2333,-115.2654,38.9047,-77.0163,Washington,Las Vegas
2017/1/1,"Portland, OR","Las Vegas, NV",1.90%,2476,36.2333,-115.2654,45.5371,-122.65,Portland,Las Vegas
2017/1/1,"Denver, CO","Las Vegas, NV",1.60%,2476,36.2333,-115.2654,39.762,-104.8758,Denver,Las Vegas
2017/1/1,"Urban Honolulu, HI","Las Vegas, NV",1.60%,2476,36.2333,-115.2654,21.3294,-157.846,Urban Honolulu,Las Vegas
2017/1/1,"San Diego, CA","Los Angeles, CA",21.10%,-5328,34.1141,-118.4068,32.8313,-117.1222,San Diego,Los Angeles
2017/1/1,"San Jose, CA","Los Angeles, CA",20.30%,-5328,34.1141,-118.4068,37.3012,-121.848,San Jose,Los Angeles
2017/1/1,"Seattle, WA","Los Angeles, CA",7.10%,-5328,34.1141,-118.4068,47.6211,-122.3244,Seattle,Los Angeles
2017/1/1,"New York, NY","Los Angeles, CA",6.80%,-5328,34.1141,-118.4068,40.6943,-73.9249,New York,Los Angeles
2017/1/1,"Chicago, IL","Los Angeles, CA",4.80%,-5328,34.1141,-118.4068,41.8375,-87.6866,Chicago,Los Angeles
2017/1/1,"Washington, DC","Los Angeles, CA",4.10%,-5328,34.1141,-118.4068,38.9047,-77.0163,Washington,Los Angeles
2017/1/1,"Portland, OR","Los Angeles, CA",2.70%,-5328,34.1141,-118.4068,45.5371,-122.65,Portland,Los Angeles
2017/1/1,"Sacramento, CA","Los Angeles, CA",2.10%,-5328,34.1141,-118.4068,38.5677,-121.4685,Sacramento,Los Angeles
2017/1/1,"Las Vegas, NV","Los Angeles, CA",2.10%,-5328,34.1141,-118.4068,36.2333,-115.2654,Las Vegas,Los Angeles
2017/1/1,"Phoenix, AZ","Los Angeles, CA",1.90%,-5328,34.1141,-118.4068,33.5722,-112.0892,Phoenix,Los Angeles
2017/1/1,"New York, NY","Miami, FL",22.20%,1202,25.784,-80.2101,40.6943,-73.9249,New York,Miami
2017/1/1,"Washington, DC","Miami, FL",14.30%,1202,25.784,-80.2101,38.9047,-77.0163,Washington,Miami
2017/1/1,"Chicago, IL","Miami, FL",9.10%,1202,25.784,-80.2101,41.8375,-87.6866,Chicago,Miami
2017/1/1,"Boston, MA","Miami, FL",7.50%,1202,25.784,-80.2101,42.3188,-71.0852,Boston,Miami
2017/1/1,"Los Angeles, CA","Miami, FL",6.00%,1202,25.784,-80.2101,34.1141,-118.4068,Los Angeles,Miami
2017/1/1,"San Jose, CA","Miami, FL",4.30%,1202,25.784,-80.2101,37.3012,-121.848,San Jose,Miami
2017/1/1,"Tampa, FL","Miami, FL",3.40%,1202,25.784,-80.2101,27.9945,-82.4447,Tampa,Miami
2017/1/1,"Philadelphia, PA","Miami, FL",2.90%,1202,25.784,-80.2101,40.0077,-75.1339,Philadelphia,Miami
2017/1/1,"Orlando, FL","Miami, FL",2.70%,1202,25.784,-80.2101,28.4773,-81.337,Orlando,Miami
2017/1/1,"Seattle, WA","Miami, FL",2.30%,1202,25.784,-80.2101,47.6211,-122.3244,Seattle,Miami
2017/1/1,"Chicago, IL","Milwaukee, WI",46.20%,116,43.0642,-87.9675,41.8375,-87.6866,Chicago,Milwaukee
2017/1/1,"Los Angeles, CA","Milwaukee, WI",5.50%,116,43.0642,-87.9675,34.1141,-118.4068,Los Angeles,Milwaukee
2017/1/1,"Madison, WI","Milwaukee, WI",5.00%,116,43.0642,-87.9675,43.0822,-89.393,Madison,Milwaukee
2017/1/1,"Seattle, WA","Milwaukee, WI",4.00%,116,43.0642,-87.9675,47.6211,-122.3244,Seattle,Milwaukee
2017/1/1,"Minneapolis, MN","Milwaukee, WI",3.90%,116,43.0642,-87.9675,44.9635,-93.2678,Minneapolis,Milwaukee
2017/1/1,"San Jose, CA","Milwaukee, WI",2.60%,116,43.0642,-87.9675,37.3012,-121.848,San Jose,Milwaukee
2017/1/1,"Washington, DC","Milwaukee, WI",2.40%,116,43.0642,-87.9675,38.9047,-77.0163,Washington,Milwaukee
2017/1/1,"Denver, CO","Milwaukee, WI",2.30%,116,43.0642,-87.9675,39.762,-104.8758,Denver,Milwaukee
